Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Busser/ Host""",4.0," Sep 28, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,,More than a year,Great learning experience of how restaurant operations works.<br>Great pay and benefits.,Long hours<br>Sometimes not enough staff which causes stress on employees.,My advice would be to do a better job scheduling.
"""Hostess""",4.0," Sep 29, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Nice atmosphere, free food, easy going people, easy moving up",No tips as a hostess,
"""Server""",5.0," Sep 27, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Hours were mostly pick and choose,"Hours, Sometimes you get stuck with a crappy shift",
"""I love working here in Denton""",5.0," Sep 26, 2017",Current,Server/Bartender,"Denton, TX",Yes,Yes,Yes,Full-time,More than 3 years,Great management<br>Lots of people<br>Tight group of employees<br>Good tips,Some guests are low tippers,keep doing what youre doing
"""Bj's takeout""",4.0," Sep 24, 2017",Past,Take Out Specialist,"Laguna Beach, CA",Yes,Yes,Neutral,,More than a year,"Fun restaurant with a good atmosphere, most of the people I worked with were positive and good people, and customers who came in were always very good.","Disorganized at times, training not done correctly.",Make employees take training more seriously.
"""Unfullfilling""",2.0," Oct 6, 2017",Past,Corporate Trainer,"Tampa, FL",No,No,Neutral,Full-time,More than 3 years,"Corporate company with a good product, takes care of those they move into key positions",Consistently passed on good talent for advancement. Appreciation for good employees not always up to par.,"Do not overlook talent, saw many dedicated employees leave due to lack of appreciation"
"""Takeout and Hostess""",2.0," Oct 4, 2017",Current,Anonymous Employee,"Addison, TX",No,Neutral,Neutral,Part-time,,"2 years ago I worked here and really enjoyed it with good management and colleagues, but I can't say the same anymore",Don't acknowledge how many hours you requested when hired or stick to scheduling for the position they hired you for.<br>Additionally they have management that acts like they are in high school causing drama and giving dirty looks when you ask them to speak with a customer or do something they don't want to do but is a part of their job,Schedule people for the position they are hired for and don't require someone that was hired as host and takeout to work mostly foodrunner shifts where they make less than they were promised at hire
"""Line cook""",3.0," Oct 3, 2017",Current,Prep/Line Cook,"Tallahassee, FL",No,Yes,Yes,Full-time,More than 3 years,Great opportunity to move up,Hard to get 40 hours. Way to much work for the pay,Give employees evaluations and pay them accordingly
"""Line cook""",2.0," Oct 2, 2017",Past,Anonymous Employee,"Corona, CA",No,Yes,Neutral,Full-time,,free food. Time goes by fast.,"Abuse workers with time frames in regards to breaks/lunches. Scheduling only shows your arrival time. You never know when your leaving, which makes no sense.",
"""Prep""",3.0," Oct 1, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,they work around my hours.,"not enough hours, pay and always just me on weekends.",
"""Line cook""",1.0," Oct 14, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Honestly I cant think of one positive thing to say,"management was unorganized, over worked on part time status, horrible schedule.",
"""Server""",2.0," Sep 23, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Simple work, small sections, loose dress code, simple sidework","unprofessional coworkers(food not prepared correctly/food runners don't read tickets and don't run the whole ticket/bussers only halfway buss tables), circular break rotation, hosts lack knowledge (full section or no tables), relatively no training, hands-off management, and general lac of cooperation between employees.","train your people, set boundaries, fire people who drink on the job and show up high for their shift, be more hands on so people don't get lazy with no repercussions"
"""It was a Lose-Lose-Lose Situation""",2.0," Sep 22, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,The job in and of itself wasn't difficult.,"Never felt respected by management, servers, guests.",
"""Great company with opportunity for growth""",4.0," Sep 7, 2017",Past,Server,"Nanuet, NY",Yes,Yes,Neutral,Part-time,More than a year,"Great training, lots of help provided by management. Great opportunity for growth in the industry.","Typical restaurant downfalls, inconsistent pay, unpredictable schedule, uneven work load.",Acknowledge and reward those who deserve it.
"""Bartender""",3.0," Sep 20, 2017",Past,Server/Bartender,,Neutral,Neutral,Neutral,Part-time,More than 3 years,-busy restaurant<br>-you can move up if you work hard<br>-they have lots of employees so you can get any days you need off,- frustrating<br>-they're trying to lower costs as much as possible so you run out of all the supplies you need all the time,-pay staff more so the good ones stay
"""Gold Standards""",5.0," Sep 5, 2017",Current,Server,"Teterboro, NJ",Yes,Yes,Yes,Part-time,More than a year,The management and corporate teams truly respect all other team members and would never ask another team member to do something they would not do themselves. Restaurant management is easy access and more than willing to help (within reason).,"Not necessarily a fault of BJs, but it is hard to find strong, committed employees. Many of my co-workers only do the bare minimum and the best servers often leave to find work elsewhere.",Stop playing favorites and acknowledge those who truly go above and beyond.
"""Server""",1.0," Oct 11, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"None at all, management was awful",Worst and most unorganized management ever,Get new Management
"""Busser""",3.0," Sep 13, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,More than 3 years,Decent amount of money in tips especially over the weekends,It was arduous work especially during nights,
"""Lots of stress, little teamwork""",3.0," Sep 14, 2017",Past,Server,"Lake Buena Vista, FL",Yes,Neutral,Neutral,Part-time,,"Tips were decent, food is good, employees were friendly","No teamwork, management was unorganized, Managers got very personal and definitely had their favorites, unfair, lots of fights between management back of house and servers","give every employee the same opportunity, stop letting certain people slide and certain people write ups"
"""Amazing""",5.0," Aug 27, 2017",Past,Line Cook,"Elk Grove, CA",Yes,Yes,Yes,Full-time,More than a year,Store was always clean and everyone was ready to help!,busy busy but still great,
"""Would recommend to any experienced server""",4.0," Aug 25, 2017",Current,Server,"Sparks, NV",Neutral,Yes,Yes,Part-time,Less than a year,$50+ average tab for 2 top table<br>Easy to sell desserts + appetizers<br>Appealing food<br>Better than average clientele<br>Good scheduling flexibility for students and parents<br>Represented reward for hard work<br>Discount on food that you can even take home<br>Well organized,Food service can be rough as always and expected<br>High expectations from management (which can be a pro as well)<br>Food Runner shifts required for new servers<br>Appetizers can be slow at times,Insure that appetizers can make it out before entrees
"""Server Review""",4.0," Aug 22, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Staff was mostly very friendly, managers were professional.","Some customers were difficult to deal with, which is expected and uncontrollable.",
"""Bartender""",4.0," Aug 20, 2017",Current,Bartender,"Folsom, CA",Yes,Yes,Yes,Part-time,More than 8 years,"Management cares about employees, and it is a high energy place to work.","The menu changes every 3-4 months, and the communication of new food and drinks to staff lacks.",More communication of new items and company changes
"""Service Assistant & Host""",3.0," Sep 3, 2017",Past,"Service Assistant, Host, & Finished Beer Specialist","Sacramento, CA",Yes,Neutral,Neutral,Part-time,More than a year,"Popular place, good for learning how to balance, execute, and function, in a fast paced environment. A great place to practice conversation and getting to know people you normally wouldn't.","Very rushed position, most people are either looking for , to ask you to do something, or have already found you and are asking you to something.","Pay attention to the people who are running around with their heads cut off, sometimes they may need a break."
"""It's okay""",3.0," Sep 2, 2017",Past,Server Assistant,,Yes,Neutral,Neutral,Part-time,,People are cool and friendly. Room to grow.,Mngmt needs to improve communication with employees,
"""Just another serving job""",2.0," Sep 2, 2017",Past,Server,,No,Neutral,Neutral,Part-time,More than a year,"It's easy, can be good money.","Militant managers sometimes don't seem human. Very corporate, they would rather you be a robot than be yourself.",
"""Good Enough""",3.0," Aug 27, 2017",Past,Host/Food Runner/Take Out,"Cerritos, CA",Yes,Yes,Neutral,Part-time,More than 3 years,"You get free food if you are a non-tipped employee and half off if tipped,<br>You have a lot of cool coworkers,<br>You don't have a dress code except for ""black clothing"" as a host.","Micromanagement,<br>Hard work does not get rewarded but brown-nosing management does,<br>You don't know when your off time is for most positions.",
"""Great company, and great people""",5.0," Aug 10, 2017",Past,Service Assistant,"Kissimmee, FL",No,Yes,Neutral,Part-time,Less than a year,"Great Management, very helpful and willing to let you move forward. Great with schedule conflicts, and management staff valued employee opinions.",Going home at 3am sucks.,Don't be afraid to fire bad employees! New service assistants can always be hired.
"""Executive Kitchen Manager""",1.0," Sep 12, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,Not a lot of positives.,"Poor upper management, talk about culture but being nothing to the table.","Care about the team members, don't just say you do."
"""BJ's Cerritos Server Salary Review""",3.0," Aug 17, 2017",Current,Anonymous Employee,,Yes,No,Neutral,Full-time,,"Great Co-Workers, decent cash, very flexible schedule","Terrible clients, no gratuity included, among many other things.",
"""part time host""",4.0," Aug 1, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,"fun, fast paced, a good place to make friends","no/weird hours, shortly staffed kitchen, open way late",
"""BJ's Restaurant & Brewhouse""",3.0," Aug 10, 2017",Current,Hostess,,Yes,Neutral,Neutral,Part-time,More than 3 years,free meals for hosts<br>good hours,earliest to request off is a month,
"""Working here is bad""",3.0," Aug 10, 2017",Current,Server/Waiter,"San Bruno, CA",No,Neutral,Neutral,Full-time,Less than a year,"I wouldn't work here forever but would definitely recommend it for someone who is a student or if your looking for something part time.<br><br>-Pretty Flexible schedule while at the same time can get the hours that you want. (If your location is as busy as San Bruno they will work you every hour you say you are available)<br><br>-Easy getting vacation (you just have to let them know a couple weeks in advance, or if it is a holiday such as Halloween you need to schedule it months in advance).<br><br>-Shifts are relatively short (4-5 hours) unless your closing. You can sometimes ask your manager though to work double shifts.<br><br>-Schedules are hosted through a site called hotschedules which also has an app. This is a place where you can find people to cover your shift.",-Sometimes Management is hard to find when you need them ( you will need them if you need them to take stuff off the bill or talk to a guest)<br><br>-Tips can fluctuate depending on the section your in ( there are some sections that are better than others because of the amount of tables they turn hourly)<br><br>-Kitchen is a lot of the times slow. (this affects the happiness of your guests because a lot of the times their entrees will come out before their appetizer or they will be waiting around 30 min for a salad),"For sure something that needs to be fixed is something in the back end of the restaurant. If anything, the size of the kitchen needs to be increased and the number of workers to accommodate a full dinner rush."
"""It's an okay place for employment""",3.0," Aug 8, 2017",Current,Service Assistant,"Fort Worth, TX",Yes,Yes,Neutral,Full-time,More than 3 years,As being a restaurant your allowed free food<br>Great environment very friendly faces,Lots of employee tend to leave because being not liking the job<br>Scheduling can lead to almost no rest period,
"""Great Company""",5.0," Jul 24, 2017",Current,Server,"Denton, TX",No,No,Neutral,Part-time,More than a year,Great company with good people and great management in the restaurant!,Corporate management can be overbearing and needlessly nit picky.,
"""Exactly what you'd expect""",3.0," Aug 2, 2017",Current,Server/Bartender,,Yes,No,Neutral,Full-time,More than 3 years,"If you grind away, you will get paid. It's a volume based restaurant, expect low tip percentage, but enough traffic in most locations to make it out decent.","Too many promotional discounts, restaurant seems like its dying to better competition",
"""Good Coworkers, Poor Management""",3.0," Jul 29, 2017",Current,Prep/Line Cook,"Tampa, FL",No,Neutral,Neutral,Full-time,Less than a year,"Life insurance, Paid time off after your first year",Working through the power hour doesn't feel worth it at times,Enable your employees growth
"""This was a fun and fast paced company to work for!""",4.0," Jul 12, 2017",Past,Server,"Tucson, AZ",Yes,Neutral,Neutral,Part-time,More than 3 years,"Great co- workers, delicious food, and amazing beer!","long hours, don't make a lot of money when its slow.","Learn how to treat your employees with respect, not like slaves."
"""Food runner""",4.0," Jul 11, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"excellent training, good support, and flexible management",food running can get very boring.,
"""Waitress""",3.0," Jul 24, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Can make a decent amount of money, your income depends on you... and business of store as well as if the managers make decent cuts.","Depends on which location you work. Also, no gratuity.",Bring back gratuity.
"""Great Job, Management micromanaged by corporate""",3.0," Jul 23, 2017",Current,Anonymous Employee,"North Little Rock, AR",Yes,Neutral,Neutral,Full-time,,almost everything<br>great hours<br>decent pay<br>fun environment<br>chill supervisors,inconsistent scheduling<br>difficult to get raises for hourly paid employees<br>often miscommunication or complete lack of communication between managers<br>New managers get hired without being fully trained<br>Employees have to train new hires with no increase in pay,Communicate more with one another.<br>Give praise where praise is due<br>stop picking favorites<br>train the new managers more thoroughly
"""Server""",3.0," Jul 21, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,- Quick cash<br>- Managers can be cool<br>- Flexible hours<br>- They use Hot schedules,- No gratuity for large parties<br>- They send out too many coupons out to customers which evidently bring sales and tips down<br>- They have secret shoppers,
"""Bj's Restaurant and brewery bartender""",5.0," Jul 3, 2017",Past,Anonymous Employee,"Addison, TX",Yes,Neutral,Yes,Full-time,,Management is great and the schedules are pretty consistent. Bosses work well with getting your days requested off.,Team work can get pretty weak at times.,
"""Server""",3.0," Jul 13, 2017",Past,Server,"Cary, NC",Yes,No,Yes,Full-time,More than a year,"Great pay ,<br>Consistency with schedule<br>Great benefits",Side work takes 2 hours to do .<br>Unorganized management in newer locations.,Keep your personal relationships with servers out of the workplace
"""Hostess""",3.0," Jul 10, 2017",Past,Hostess,"Roseville, CA",Yes,Neutral,Neutral,Part-time,More than a year,Made some awesome friends when working there. Fun and fast paced environment.,"Servers are very negative at times and tend to snap. Disorganization is just the way things were, so learn to work around it.",
"""Bjs""",4.0," Jun 22, 2017",Current,Server,"City of Industry, CA",Yes,Yes,Yes,Part-time,More than 3 years,"Culture, Friendly, Fast-paced, Good environment, Coworkers","Money, Lack of silverware, lack of glassware, low on stock items, need more motivate people",
"""Manager""",4.0," Jun 23, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,Pay bonus hours room for growth,Long hours no work life balance,
"""Solid establishment""",4.0," Jun 23, 2017",Current,Anonymous Employee,,No,Yes,Neutral,Full-time,,Fast paced work environment with room to grow,Can be difficult depending on other coworkers,
"""It was good for what it was""",3.0," Jul 7, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Flexible scheduling was nice to have,Disorganized management structure and loose rules.,
"""server""",2.0," Jul 6, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than a year,it is a good work,the work hours could be better,
"""Best Job""",5.0," Jun 17, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Best job I've had in a while, great people and management.",The floors are always slippery,
"""Server""",4.0," Jun 16, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,More than a year,"Good Discounts, Family Environment, Fun Atmosphere",Management could use some help at times,
"""A Place To Work - Good for students but bad for everything else""",3.0," Jun 29, 2017",Current,Server,"McAllen, TX",No,Neutral,Neutral,Part-time,More than 3 years,It's a serving job so you will almost always leave with some money in your pocket and the people that work there are often really nice and cool to be around.,"There is no automatic gratuity for large parties so there have been times when I have gone in and only had parties of 14 or more all night and left with almost nothing (less than $30). Also, the menu is huge and constantly changing and there are a million steps involved with greeting tables.",Managers should be more encouraging.
"""It's ok""",2.0," Jun 25, 2017",Current,Server,"College Station, TX",No,Neutral,Neutral,Part-time,More than 5 years,Make good money during football season. Awesome coworkers. Good food. Good music. Made all my friends working here. Good place for large parties.,Hire way too many servers. Like 70+. New servers get moved up before senior servers. Managers play favoritism. Training isn't as extensive anymore. Have to beg for more than 3 shifts a week.,"Take care of your senior servers first. Stop hiring so many people, making existing servers beg for shifts. Communicate more. And stop moving new employees up before moving your seniors up."
"""Been with company for 6 years""",3.0," Jun 22, 2017",Current,Server,"Palmdale, CA",Yes,Yes,Neutral,Part-time,More than a year,"Usually good tips, flexible hours/schedule","Management not always on top of things/great, no health benefits if part time",Need to be more organized
"""Good company to work for""",5.0," Jun 2, 2017",Past,Server,"Beavercreek, OH",No,Neutral,Neutral,Part-time,,"Flexible schedule, supportive management, decent food",Too many server assistants to tip out,
"""I Opened a New BJs (April 24th, 2017)""",3.0," Jun 18, 2017",Current,Hostess,"Boardman, OH",Yes,Yes,Yes,Full-time,More than 5 years,*Easy Job<br>*Get to meet new people<br>*Hot Schedules is a great- for when you know what days you're working<br>*Get a Free Meal every shift if your a non-tipped employee,"*There is not Employee Loyalty<br>*Favoritism makes it difficult to get the hours you desire<br>*Every Manager tell you something different- nothing is the same<br>*Management team is very immature<br>*Management doesn't listen to you if you need to change your availability and will schedule you to work during time even though you cannot<br>*If you work a Lunch shift you get horrible hours (about 3-5), but if you work a dinner you get (6+ hours) Instead of making them equal people in the morning get screwed over.<br>*Lack of Good Training<br>*You have no idea when the schedule for the following week will be posted<br>*If you message a Manager on Hot Schedules asking a question they NEVER respond","*Post the Schedule every week on the same day at the same time<br>*Be more Professional<br>*Have Less Favoritism and reward based on how the job is being executed (performance)<br>*Be Far and listen to your employees<br>*When an Employee messages you, message them back so that they know you have read their message.<br>*Give everyone an opportunity to do each part of the position (such as: Greeting, Seating and Coordinating) Instead of having the same people doing it every shift.<br>*Due to the fact that Hostess are pay hourly Lunch/Dinner shifts should have the same amount of hours so everyone get the same opportunity whether they work Lunch or Dinner."
"""Good company with clear goals""",4.0," Jun 3, 2017",Current,General Manager,,Yes,Neutral,Neutral,Part-time,,"Development, career growth/opportunities, benefits, people, locations, nice restaurants, vacation policy, tech<br>Support, bonus incentive program, Top Performers Club program, high standards","Long hours, quality of life, corporate politics, limited advancement opportunity if in smaller market and not mobile, pressure to meet the standard",Performance based advancement/salary increase
"""Server""",1.0," Jul 4, 2017",Current,Server,"Baton Rouge, LA",No,Yes,Neutral,Part-time,More than a year,Fast paced environment that forces you to multi task,bad management that makes it difficult to give customers the best experience,Hire more people and schedule appropriately
"""Great Money""",3.0," Jun 7, 2017",Past,Take Out Server,"Lewisville, TX",Yes,Neutral,Neutral,Part-time,Less than a year,The money is fast and good. Lewisville is known as the fastes BJ's in the area. Food is always good and you get half off by working there.,Management at the time sucked. They schedule new ppl for long hours and left responsibilities on last person in. This was annoying at times.,
"""Not worth all the hassle""",2.0," Jun 10, 2017",Past,Server,,No,Neutral,Neutral,,More than a year,Easy online scheduling system<br>Easy to pick up shifts,Awful management<br>Stand by shifts (illegal in CA)<br>Servers didn't take home a lot of tips<br>Too high tip outs,So not a good place to work for
"""Server""",3.0," Jun 5, 2017",Current,Server,"Murfreesboro, TN",Yes,No,Neutral,Part-time,More than a year,"Great coworkers who become family, decent food, and potential to make good money.","Favoritism prevents you from getting the best shifts, no employee loyalty.",
"""Fun Place to Work, Great Team""",4.0," May 17, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,Loved the people I worked with as well as the managers. Evenings are always fairly busy.,The restaurant is down the street from a senior living center so lunch shifts are not the most fruitful shifts to work due to this.,
"""Good if you desperately need a job""",1.0," Jun 18, 2017",Past,Hostess/Cashier,"Vienna, VA",No,Neutral,Neutral,Part-time,,-Not required to work weekends<br>-Laid back environment<br>-Free meals for hourly employees,"-Highly unprofessional<br>- Favoritism showed by Managers<br>-Chaotic work environment<br>-Fighting for hours due to slow business<br>-Lack of discipline for employees who come to work late, no call-no show, call out all of the time, don't do their work properly, etc.<br>-Lazy Managers<br>-Managers constantly on their phones<br>-The unqualified and lazy get promoted faster if they kiss up to management<br>-Hard workers aren't appreciated or respected<br>-Managers aren't disciplined/fired for their behavior<br>-Managers being friends outside of work/sleeping with employees<br><br>The list goes on.","Get off your phones and manage the restaurant. Discipline employees who deserve to be reprimanded instead of reprimanding employees who actually do their jobs for small issues. Listen to your employees and actually have their backs, don't make false promises, because at the end of the day happy employees ensures happy guests. If you want to improve the business listen to the employees who have to deal with customers face to face day in and day out, they know the restaurant best and their opinions should matter. Stop promoting individuals who are lazy and don't do their jobs simply because they are willing to bend to your will and work slave hours. And lastly, district managers and corporate should discipline/fire their managers who don't perform and be more hands on and aware of what's going on in their restaurants. Managers get away with murder and still somehow have a job. If I did what they do, i'd be fired at any regular job on the spot."
"""Eh""",3.0," May 25, 2017",Past,Server/Waiter,"Plano, TX",Yes,No,Yes,Part-time,More than a year,"Flexibility of Time (ish)<br>Decent Managers (depending on where you are)<br>Fast decent money (depending on location ex: Allen makes more than Plano)<br>If you have seniority, you can possibly be allowed to work FT (heard they only allow a certain number of people to have benefits)",Some pettiness (comes with the business)<br>Managers picking favorites<br>Unable to work FT unless you have a valid reason and have seniority,"Hire more personable/professional managers. Some that are not just good with the consumers, but that also can rise above the drama/pettiness of the waitstaff."
"""I Have had a great team since starting however the turn over on staff is terrible, training someone new all the time.""",4.0," May 10, 2017",Current,Culinary Master,"Rancho Santa Margarita, CA",No,No,Neutral,Full-time,More than a year,"Great atmosphere, with good people. Good benefits, and a meal on your shift. Plus discounts.","Management doesn't know what they are doing. Scheduling is horrible, Labor hours are huge thing to them so management puts more work on every one else.",Stop changing the schedule after posting it. Work with the team don't just wonder around aimlessly and play on your phones.
"""Server/Bartender""",2.0," May 19, 2017",Past,Server,"Murfreesboro, TN",Yes,Yes,Yes,Full-time,Less than a year,The depth of beer education was phenomenal. The managers that cared would bend over backwards for you.,"I can't speak for every store, but the Murfreesboro location made me want to pull my hair out. Managers at the top were quite often nowhere to be found. The computer systems were bass-akwards and the guests did not seek to<br>Be the first priority. No communication between management and FOH in terms of handling guest issues. Seemed as if the company was growing to fast for the people and infrastructure in place.","Don't openly speak about how ""this is a just a holdover for me."" Be consistent. Be more proactive and guest-oriented."
"""Senior manager""",2.0," May 8, 2017",Current,Senior Manager,"Fort Myers, FL",No,No,Neutral,Full-time,More than 3 years,Good people to work with not as crazy as people think for the volume.,Crazy menu that constantly changes. Need to figure out true Identity.,Promote on merit not on quizzes and tests.
"""Server/Bartender""",2.0," May 10, 2017",Current,Server/Bartender,"Oxnard, CA",No,Neutral,Neutral,Full-time,More than 3 years,Like any serving job its easy money for what you do.<br>50% off of food during shift,Being employed at two different locations I could say that overall the management needs improvement. Most managers pick their favorites and its very clear that the favorites get away with murder. Mangers for the most part don't care about you either. I've been scheduled against my availability countless times.,Treat everyone the same. Be courteous of employees availability.
"""Great place most of the time""",5.0," Apr 23, 2017",Current,Server,"Plano, TX",Yes,Neutral,Neutral,Part-time,More than a year,Pretty great tips usually<br>Great co-workers<br>Good food discounts<br>Flexible scheduling,Managers say different things<br>Slow lunch shifts<br>Unnecessary rules,Be more laid back. Let your servers do their jobs and don't be so uptight about the littlest things
"""Waitress""",3.0," May 8, 2017",Past,Server/Waitress,"Covina, CA",No,No,Neutral,Part-time,More than 3 years,Always had business coming in,The managers put so much pressure on you so they get their bonus,
"""To-Go""",3.0," May 3, 2017",Past,Take Out Server,"Pearland, TX",No,No,Neutral,Part-time,Less than a year,Good Hours. Always Busy. Employee discounts,"Hostile work environment, bad tippers due to this particular location being apart of a outdoor mall, Bad Management, Awful scheduling (coworkers often being scheduled double shifts without break time) Constant turnover (people would put in their two weeks after only working a week due to the lack of money being made) heavy focas on pitching food items and corporate interference. Secret shoppers being sent out regularly.",Stop picking favorites and be more considerate of employee scheduling. Work on preventing such rapid turnover.
"""Don't do it""",1.0," May 22, 2017",Past,Server,"Addison, TX",No,No,Neutral,Full-time,,The money of pretty good,Horrible hosts/ hostess<br>Horrible bussers<br>And even worse management,Don't hire people and say you can accommodate their schedule and then every week schedule them outside of their availability. Maybe the turn over rate wouldn't be so high. Also train better hostesses/host getting 5 tables in 5 min all large parties is just asking for you employees to quit right in the spot. ( which happened all the time at my location) I have been a server for 5 years during college and this was the worst servering job I ever had! The management constaly screws over their employees. Everything I have stated has not just happened to me but something all the employees have said.
"""Good environment""",4.0," Apr 14, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than 3 years,"Fun, fast paced, easy money",Slow at times so low tips,Listen to your employees.
"""Server""",2.0," Apr 27, 2017",Past,Server,,Yes,Yes,Neutral,Part-time,Less than a year,A place to work but nothing amazing.,"Poor tips. Cheap customers, janky kitchen to FOH ratio. Disasters daily.",
