Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Excellent work experiece""",5.0," Nov 12, 2017",Current,Cashier,"Ocean City, MD",Yes,Neutral,Neutral,Part-time,Less than a year,Everyone is so kind and just always on top of things. Nobody gives off bad vibes or attitudes. The customer service is excellent.,There aren't any cons to working here. They make it to where i can be flexible balancing school and work.,Keep up the great work. Only great things are expected from here.
"""Chipotle Life""",5.0," Nov 12, 2017",Current,Cashier,"Virginia Beach, VA",Yes,Yes,Yes,,More than 3 years,Free Food! Lots of hours! Your coworkers become your friends. The regulars are so friendly and they make working more fun.,Long shifts without a break.,
"""Kitchen Manager""",4.0," Nov 12, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good place good crew and customers,Can be stressfull and long shifts,Keep opening new stores for more opportunities
"""Crew Member""",5.0," Nov 11, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,well-rounded team effort to provide substantial customer service,"the occasional hangry customers, and sometimes running out of supplies",
"""Team member""",2.0," Nov 26, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Part-time,,"-tips , -full time , - get along with coworkers",-calls a lot on off days,Could be more nice
"""Overall decent experience""",4.0," Nov 9, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than 3 years,a pro would be friendly staff,a con would be overworking staff,
"""Great work for college""",5.0," Nov 9, 2017",Current,Crew Member/Grill Cook,"Minneapolis, MN",Yes,Yes,Neutral,Part-time,More than a year,Flexible scheduling<br>Great atmosphere that really empowers you to do well,Fast paced environment so difficult environment for super slow workers,Take more time with each new hire to really implement good habits and a positive attitude
"""Fast passed,hardworking and fun.""",4.0," Nov 8, 2017",Current,Service Manager,"Cedar Park, TX",Yes,Neutral,Yes,Full-time,More than 3 years,"Team orientated, hard work pays off, fast passed, great benefits. Learned cooking skills and how show great customer service. Great hours as well.","Some cons would be that you do t get paid enough for what you do, they expect a lot for you.",
"""Lots of fun if you like being on the go!""",3.0," Nov 23, 2017",Past,Crew Member,"Wayne, NJ",Yes,Yes,Yes,Part-time,,Good food<br>High energy work environment,Lots of politics when it comes to work responsibilities and promotion,"Allow not only your friends, but also dedicated and efficient workers to climb the ladder."
"""Good People""",4.0," Nov 7, 2017",Past,Crew Member,,Yes,Neutral,Yes,Part-time,,The people that worked at the restaurant were really nice. They welcome you in as family and were willling to help with any issues. Definitely a faster paced work environment.,There isn’t something outstanding that is concerning.,
"""great""",4.0," Nov 7, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,"great company to work for. benefits are offered to crew, members",i have nothing bad to say,
"""Service Manager""",4.0," Nov 8, 2017",Current,Service Manager,"Merrick, NY",Yes,Yes,Neutral,Part-time,More than a year,"Good benefits, free meals, great work environment. It can be a fun place to work if you have the right mindset, as per usual the people make the place, get to know one another. Some of my best friends are my co-managers and employees. Work hard and you shall be rewarded.","For management, we are expected to do a whole lot more for not that much more than crew, no incentive for managers to stay, which is why the company is always looking for more managers. If they paid us more, their lives as well as ours would be a lot easier.","Get to know your people and make sure you listen to their complaints/concerns, 95% of the time they have solid ideas and are right, don't be afraid to let them get involved too (within reason of course)"
"""Good Teamwork""",5.0," Nov 6, 2017",Current,Prep,"Lubbock, TX",Yes,Yes,Yes,Part-time,,"Flexible with schedule, great training, and opportunities to move up.",Lack of communication creates miscommunication at times,Emphasize on communication and teamwork because everyone depends on one another.
"""Fun""",4.0," Nov 6, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than a year,"Free food, good co-workers,","Fast paced, lots of knowledge, stressful,",Give higher pay with the amount of work your employees do.
"""Great company, good for first job""",4.0," Nov 7, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Learned a lot of customer service skills, really teaches someone how to work under pressure and multitask. 50% off discount when not working, free meal before/after a shift. Starting pay is not too bad. Managers really work around your schedule",Was not always guaranteed a lunch break even with 8 hour shifts. Can be really tiring job at times,
"""Fun, interesting, uplifting!""",5.0," Nov 5, 2017",Current,Crew Member,"Moline, IL",Yes,Yes,Yes,Part-time,Less than a year,"High energy, great starting pay, taught me how to cook and how to work with customers! It’s a work-up-the-chain job. Easy to get up to manager!","Terrible benefits, gets you by.",
"""Line Crew Member""",4.0," Nov 6, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good experience with food service,Over-worked and under-paid for 2 years,More management needed
"""Kitchen Manager""",3.0," Nov 20, 2017",Current,Kitchen Manager,"Teterboro, NJ",No,No,Neutral,Full-time,More than 3 years,Great service and Fun work place,requires too much of my time,
"""Slave Work, Good Team""",2.0," Nov 19, 2017",Past,Kitchen Manager,"Orlando, FL",No,No,Neutral,,Less than a year,Crew is like family,"EXTREMLY stressful, impossible needs.","Workers are real people with feeling, be kind and considerate of life outside of work."
"""Take Out Specialist""",3.0," Nov 19, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,"Good pay, Flexible with school schedules, friendly coworkers, free food when working, 50% off when not working, advancement opportunities, and regular raises","Pay you well because the work is awful, expect you to do everything while the managers do nothing, not very understanding when family emergencies occur","Do more for your employees, and maybe you won't have such a high turn over rate. Work can be back breaking, and the managers do not help nearly as much as they should."
"""Chipotle Crew Member""",2.0," Nov 19, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,"Meet some good people. You do get tips, I just don't know how much annually. Customers are generally not mean. Like to stay active. Free meals and 50% discount every time you go in.",Bad management. Discriminatory. Too much gossip. Men made women lift heavy things and didn't offer any help. Vulgar language in front of customers. Unprofessional,Don't allow managers to harass employees.
"""Service manager""",3.0," Nov 18, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,Employee meals if you’re not tired of eating the same thing everyday,"Low pay for the amount of work that needs to be done and stress experience, extreme favoritism, lack of professionalism, money is always valued over employee satisfaction",Promote people who exude the 13 characteristics you speak so highly of but don’t display and be professional.
"""It was okay""",4.0," Nov 2, 2017",Past,Cashier,"Newark, NJ",Yes,Yes,Neutral,Part-time,More than a year,"Free food, good people, and pay raises",Cross traiing to then be under paid(doing everything a manager does but getting cashier pay),
"""service manager""",3.0," Nov 16, 2017",Current,Service Manager,,Yes,Neutral,Neutral,Full-time,More than 3 years,People around your individual store are great.,Upper leadership needs to look harder at the details.,
"""Chipotle""",3.0," Nov 17, 2017",Current,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,,Free food and having the opportunities to make customers happy,"Not enough pay for the amount of work done, as well as the attitudes of coworkers and managers.",Mangers are lazy. Crew members tend to do more work. The amount CEOS make a year we should definitely get a higher pay!
"""General mgr point of view""",3.0," Nov 17, 2017",Past,General Manager,"Chicopee, MA",Yes,Neutral,Neutral,Full-time,More than a year,"If you work hard you will be rewarded by raise or promotion. It was for the most part a fun place to work . You learn a lot of great culinary skills . I worked very hard , became asst mgr inside of 3 mo. , a salaried mgr in a yr and general mgr of my own store in 15 months . If you go there with experience they are not afraid to start you at a higher pay if you ask.",As it is a fast growing company they tend to promote people that are to young or just not ready to be a mgr. A person who is a great worker isn't always a great mgr. In the past 2 years the company has come under fire in the press with ecoli and other issues and it seemed that every month they were changing how we did things . They also went on a hiring and firing spree of Area and General mgrs. some with little to no reason . Also if you have a family salaried position is not for you here. They told me in my interview salaried mgrs. work 55 hrs or more almost never ? I worked my share of 70 hr weeks and if I left 1 hr early I would get a phone call.,"my time at chipotle I would not take away . As a kitchen , service or even apprentice manager it was in the top 2 or 3 jobs I've experienced. Once you reach General mgr you seem to lose your voice upper mgt . I was asked my opinion and saw more action taken as a lesser mgr explaining issues . Once I became gm everything was very negative no matter how much good we did."
"""Chipotle Service Manager""",5.0," Nov 1, 2017",Current,Service Manager,"Minneapolis, MN",Yes,Yes,Neutral,Full-time,More than a year,Best environment and committed team I have ever worked with!,Fast paced environment with many just starting workers.,"Always communicate, critique, and know your boundaries."
"""Great Place to Work""",5.0," Nov 2, 2017",Past,Anonymous Employee,,Neutral,Neutral,Yes,Part-time,,"Coworkers were awesome, job was fun overall",Strenuous and monotonous at times,Keep on keeping on
"""free food""",2.0," Nov 16, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,"Free food, paid breaks, 50% discount on meal when not working.","constant management changes, low wages, lots of work, people calling off constantly,",
"""Crew""",2.0," Nov 16, 2017",Past,Crew Member,"Arlington, VA",No,No,Neutral,Full-time,Less than a year,"They offer health benefits to full-time and part-time workers, their spouses/and or dependents . (Dental, health, vision)<br>The pay is good.<br>Food discount<br>Free meal (While working)","Management is irresponsible and they don’t follow all sanitation procedures. They improperly train new hires, and are unfair to workers by understaffing during certain times and expecting them to do multiple things at once.",Train your new hires properly<br>Follow all company safety and sanitation procedures
"""Crew""",2.0," Nov 16, 2017",Current,Anonymous Employee,"Canton, MI",Yes,Yes,Neutral,Full-time,More than a year,Free food (dine in only),"Favoritism, inconsistent management,<br>Can't take food home, no recognition, uneven work load,",
"""Ok ig""",3.0," Nov 16, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,They are understanding and flexible if you need time off,They won’t pay you for your hours and change your clock in/out time,
"""Chipotle Line Worker""",4.0," Nov 1, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Paid above minimum wage, supportive managers, and a free meal every shift.","Other coworkers were usually unmotivated, turnover was very high.",
"""tortilla line and cashier""",4.0," Nov 1, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,good pay rate<br>great people to work with<br>nice people to learn from<br>the work is fast paced and you learn everything there not just one job<br>chipotle is everywhere do transferring is always easy,isnt always enough people there so hours are a little scattered,
"""Crew Member job""",4.0," Nov 1, 2017",Past,Crew Member/Grill Cook,"Woodland Hills, CA",Yes,Neutral,Neutral,Part-time,More than a year,"The people were great, learn culinary skills","Managers can be confrontational, have to learn to deal with rude customers, its also a pretty physical job",Work around people's schedules better
"""okay""",5.0," Oct 30, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,Awesome food and flexible hours,manager couldnt remember my name,
"""Prep Cook""",4.0," Oct 30, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,3 free meals per shift,very fast paced and lots of work,
"""Chipotle is LITTERLY my life part 2""",4.0," Oct 30, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,Less than a year,Free meals<br>Awesome people<br>Hope<br>Our message,Stress<br>Uneven pay<br>Feel tied down<br>Emotionally draining,"Stay humble, not everyone can do something you have done in the past."
"""Cashier""",4.0," Oct 29, 2017",Current,Cashier,"Lenexa, KS",No,Neutral,Neutral,Part-time,More than a year,Definitely incorporates a lot of team work and the customer service part can be a bit hard at times but that's just the food industry for ya!,There's a constant shift within your schedule if you're not a competent worker for sure,Communicate more as it will keep your employees calm and always plan who's going to be on what station ahead of time. Mise en place?
"""Terrible""",3.0," Nov 13, 2017",Current,Kitchen Manager,"Concord, NC",No,No,Neutral,Full-time,Less than a year,"They have good benefits, if","Management Sucks, No organization, they talk bad behind your back, lots of favoritism, very lazy never willing to help",
"""Conflicted""",3.0," Nov 12, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Co-workers and free food were the pros,"Customers, as they were rude or too demanding. Also, compensation could be a little higher for the work",
"""Potle""",5.0," Oct 27, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Benefits are good. Everyone worked including to GM it was a great experience.,They promote people really fast who usually don’t know what they are doing and accept the promotion for the extra cash. Also when the team achieves resturantuer only the GM gets a raise which is some bs. The GM didn’t and couldn’t do it on their own so everyone should benefit from it. That’s my only real issue with the company.,
"""Great Company Ideas But Poor Staff Expectations""",2.0," Nov 12, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Good overall company message, fast paced, wide variety of duties, free meal while working, 50% discount when not working.","Unrealistic expectations for employees, too much stress on management that is taken out on the rest of employees.",I have experienced countless lose/lose situations at Chipotle. If you have things to do in the back but there is a huge line then its either finish your tasks in the back and be yelled at for not helping or help the line and be yelled at for not finishing your tasks. The managers are under too much stress and need everything to always get done and that's not at all realistic.
"""Service Manager""",4.0," Oct 28, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,More than a year,"Free Food, Fun work environment","Long days, often short staffed",
"""sweaty work for decent pay""",3.0," Nov 11, 2017",Past,Anonymous Employee,"Fort Lauderdale, FL",Yes,Yes,Neutral,Full-time,,"free drink &amp; meals in the restaurant, discounted if to go, 9/hour for 5 hours a couple times a day was nice too.","some co workers were pretty snotty, burned my fingers on the tortilla press constantly. got a rash on my hands from the soap or gloves or both.",make sure the person training/answering questions to the new person actually wants to. 1st week there and the girl training me got fed up when i'd ask a question.
"""Great place""",5.0," Oct 26, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,More than a year,I love fast paced work and this job definitely is.,None that I have found yet,None
"""Great Job""",4.0," Oct 24, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,People are nice and cool,They don’t reakly have a good hiring process,Do better
"""okay""",3.0," Nov 8, 2017",Past,Anonymous Employee,"Bronx, NY",Yes,Neutral,Neutral,Part-time,,coworkers were nice and the job wasn't very difficult,When it hits noon and it gets busy.,
"""great place to work""",5.0," Oct 23, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"good place to work, great benefits",boring work at times as wrapping burritos all day is repetitive.,Keep your employees on track as some are lazy at certain locatinos
"""Fast paced but a good environment""",5.0," Oct 23, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Easy and laid out work to follow,Peak hours are sink or float,Make sure plenty of training is done prior to an independent shift
"""Team Member Part Time""",2.0," Nov 8, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Fun environment if you are high energy and enjoy fast paced work,Not enough training for team members,
"""Love/Hate Relationship""",3.0," Nov 3, 2017",Current,Crew Member,"Lawrence, KS",Yes,Yes,Yes,Part-time,More than a year,Discount on good food<br>Great pay for college students<br>Proper Training<br>Benefits,Long Hours<br>Intense expectations<br>Poor communication among workers and managers,Communication is key.
"""Good place to work""",4.0," Oct 17, 2017",Current,Crew,"Phila, PA",Yes,Yes,Neutral,Part-time,More than a year,"Fast paced, good community, opportunity for growth","Stressful work environment at times, some lazy coworkers.",Hold each employee accountable for their share of work
"""Crew member""",2.0," Nov 4, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Free food, that’s about it","Management, hours, ridiculous rules changing every other week you could never keep up with.",
"""Eh...""",3.0," Nov 2, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"Friendly environment, great benefits, well paid","Very high-demanding, very bad for newcomers",
"""A day in a crew""",3.0," Nov 3, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,$25 free food every shift,Work in a opressively hot in a slave-like manner,
"""Awesome!""",5.0," Oct 18, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,-Free food during your work times<br>- great pay for a first job<br>-they offer benefits and tuition reimbursement,-not a major con but it can be exhausting running around at times,none
"""Excellent""",5.0," Oct 19, 2017",Current,Crew Member,"Greenacres, FL",No,No,Neutral,Part-time,Less than a year,The food quality and free meals every employee shift. They have very high standards and their food has no perservatives,It gets very busy and hectic during workers at other jobs lunch break hours or when everyone gets off their job,Hire more crew members for when it gets hectic
"""best place to work""",5.0," Oct 19, 2017",Past,Front Line/Cashier,"Syracuse, NY",Yes,No,Yes,Part-time,More than a year,supportive staff<br>free meals<br>good hours and pay<br>never bored,can be mentally and physically draining,keep doing what you're doing
"""Crew""",4.0," Oct 18, 2017",Past,Crew,"Allentown, PA",No,Neutral,Neutral,Part-time,,"Free food, easy, pays well","repetitive, boring, angry customers, dishes",
"""Standard minimum wage job with subpar managment""",3.0," Nov 1, 2017",Current,"Order Taker, Phones, Cashier","San Jose, CA",No,Neutral,Neutral,Full-time,,You are paid for your breaks.<br>They have flexible scheduling.<br>There is Free Food.,Bad store-level management<br>Heavy workload<br>Bad Staffing,"Pay more attention to what happens in your stores, and make sure people are properly trained to do the job that people are assigned to do."
"""It was ok""",4.0," Oct 18, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,Free selected food and drink,Pay is low compared to the high standard living of New York,Increase pay
"""Too fast paced""",2.0," Oct 31, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,Less than a year,Free food<br>Good vibes in restaurant,Having to do 3 jobs at once<br>Got stuck on dishes,Respect your cashiers more
"""Service Manager""",3.0," Oct 30, 2017",Past,Anonymous Employee,,No,Neutral,Yes,Part-time,,"It really was like another family. Pay is above the standard for QSR, and vacation time adds up quickly. The mission behind the company is one I truly believe in.","Work/life balance, you get that at most restaurants but at Chipotle, you would miss your family for weeks at a time sometimes. Long hours, no breaks, ""empowered"" employees (which basically means a team of know it alls that want everyone else to do their work).",Recognize your employees (especially management) days off. You will get less productive employees if you don't allow them to actually have time off. Honor vacation time.
"""Great first job.""",5.0," Oct 15, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Free meal, friendly coworkers and always doing something.",schedule changes a lot and some customers are rude and picky.,Nothing.
"""Area Manager""",2.0," Oct 30, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,Great people at the store level. Fantastic benefits.,Pay structure is terrible. Stressful and everything is made more difficult than it needs to be.,
"""Crew Member""",3.0," Oct 30, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Strong sense of teamwork and team values,Very high expectations and high stress,
"""Stressful amount of work expected but good pay""",3.0," Oct 29, 2017",Current,Anonymous Employee,,Neutral,No,Neutral,Part-time,,-good pay for a first job<br>-learn a lot about customer service and working with others<br>-flexible hours,"-never acknowledged for your hard work<br>-management valued older employees (since I am a minor my 7+ months of experience didn't mean anything compared to a new employees who are over 20 years old)<br>-when new management came into the store, I was scheduled to do dirty work new hires didn't want to do<br>-my hours were cut going from 20+hours to 3 hours a week. (these 3 hours were spent watching new hires and training)",Give credit to everyone that works not just your specified age group. Chipotle is for diversity so allow minors to feel appreciated for their hard work too.
"""Apprentice""",5.0," Oct 13, 2017",Current,Apprentice,,No,No,Neutral,Full-time,More than 3 years,The best thing about working for Chipotle is the amazing people you meet as employees and guests.,"As salary management, you do work long hours and have extremely high expectations.",Keep learning. Always.
"""Chipotle Mexican Grille Crew Member""",5.0," Oct 13, 2017",Past,Crew Member/Grill Cook,"Westport, CT",Yes,Yes,Yes,Part-time,More than a year,Learn a lot about teamwork and working in a fast-paced environment.,"When your team is not up to speed, it can lead to late nights closing.",Challenge employees to know more positions among work activities.
"""Cool co-workers, inconsistent training, customers hate portion sizes""",2.0," Oct 29, 2017",Current,Crew,"Orlando, FL",No,Neutral,Yes,Full-time,Less than a year,"Friendly people, good managers, customers are usually nicer in the morning shifts","Rude customers because new management changes portions and customers get upset with them, some crew get paid more than others and do less than the ones who are paid less, training is very inconsistent",Certify trainers and be consistent on recipes/portions. Give less hours to crew who get paid more and work less than others.
"""Just find a good/ new location and you'll love it""",4.0," Oct 14, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Great starting pay, just find a good location. It will make or break your entire experience. Excellent opportunity for advancement though.",Some stores are older and are basically falling apart.,
"""Service Manager""",4.0," Oct 14, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,Less than a year,Team effort.<br>Great people<br>Great training program,Terrible customers<br>Feels like a cult,Take your time promoting people.
"""Good hours.""",5.0," Oct 12, 2017",Current,Cashier,"Irving, TX",Yes,Neutral,Yes,Full-time,Less than a year,Free food when you go on break,N/A nothing bad to say.,Everything’s good.
"""Good work place""",5.0," Oct 13, 2017",Current,Crew Member,"Santa Cruz, CA",Yes,Neutral,Neutral,Part-time,More than a year,1 free meal<br>1 50% off meal<br>Paid breaks,Schedules get changed a lot,
"""Crew Member""",4.0," Oct 12, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Given the opportunity to learn a lot,Made me work off the clock a lot,
"""Crew""",5.0," Oct 11, 2017",Current,Crew,"Beaverton, OR",Yes,Neutral,Yes,Part-time,More than a year,Everything. People. Hours. Tasks. Free Food,Picky Costumers. Short Breaks. Discount only works at home store,
"""Cash""",5.0," Oct 12, 2017",Current,Anonymous Employee,,No,Yes,Neutral,Full-time,Less than a year,"nice, great, fun, reasonable, good","tiring, hard, work, stand time, bad, good",
"""Unbalanced and too much work load""",2.0," Oct 26, 2017",Past,Mise En Place,"New York, NY",Yes,Neutral,Neutral,Part-time,More than a year,"Free employee meal, 50% off meal at home restaurant , some great coworkers","Understaffed, the fake happiness is draining, manager rushes you DURING rush hourS to get the line served and ringed up at an ungodly inhumane pace. Like if you want to grab food from this place during your break expect to wait! It's not our fault there are too many god damn customers unsure of what they want in their burritos or bowls. I'm not gonna even speak about the tourists. While your on cash if it ever slow downs your expected to keep the dining clean and the soda station stocked which is impossible sometimes. You never leave in time either. Also some weird funky managers that are at a loss with life.",Hire more duhh! Give employees breaks at decent times and not alone !
"""Take Out Specialist""",4.0," Oct 11, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,"Close knit crew members, tips for long shifts, everyone is always willing to help each other out",Management took a downhill and that is why all of their good employees are leaving.,
"""I was a cashier.""",4.0," Oct 12, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Growth opportunities, great work culture, incredible food company","Late nights, some lack of organization",
"""A learning experience but never again""",3.0," Oct 26, 2017",Past,Prep Cook/Dishwasher,"Commerce City, CO",Yes,Yes,Neutral,Full-time,,"Friendly, helpful, learning for high schoolers maybe college students. If you want to grow in the fast industry fast this place is good",Always pushing and worrying about others working while managers do less. Many would tell others to do there part of closing,
"""Great place to work-- also great food!""",5.0," Oct 10, 2017",Past,Anonymous Employee,,Yes,No,Yes,Part-time,,"people, culture, food, and pay",not a place to work if you are not fit for customer service,
"""Cashier""",1.0," Nov 14, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Free lunch with shift was nice,"Hours were difficult, hard to meet",
"""Not the best""",1.0," Nov 14, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,It was relatively easy work that doesn't require much skill,"Might just be my chipotle, but they weren't the best coworkers","The employees should be taught to be more respectful, honestly."
"""Good and Bad""",2.0," Oct 25, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,,Less than a year,good free food and opportunities to move up,leadership is not good at communicating,create a vision people can connect with
"""Good Place To Work For""",4.0," Oct 9, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,,More than 5 years,Great experience as a first job.,I feel like there is not enough training for new employees.,
"""Cashier""",4.0," Oct 10, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than 3 years,- Cool People<br>- Free meal every shift,- Long hours for closers due to being understaffed all the time,Hire more people
"""Opportunity for Growth""",5.0," Oct 9, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,Less than a year,"Great people, great environment. Opportunity for growth.",Very high expectations across the board,
"""Database Administrator""",4.0," Oct 9, 2017",Current,Database Administrator,"Denver, CO",Yes,Neutral,Neutral,Full-time,,"Good Company Good benefits, Food is great!","Fast Paced, Long Hours, Budgets tight",Offer Caso
"""Resturantuer""",5.0," Oct 7, 2017",Current,Resturantuer,"Miami, FL",Yes,Yes,Yes,Full-time,More than 5 years,"Great pay,Growth opportunities, Great Business motto",Chipotle is a great company to work for but if I had to pick something it would be the lack of attention to training on all levels.,"Resturantuer, Developed over 15 managers including 4 successful GM`s, Won multiply rewards for beating marketing goals, best new restaurant opening, though put and Best business results."
